epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.308,1.50123,1.527,0.0047,0.86313,0.87688,0.92825,0.67353,1.02672,5.43458,0.00394,0.000555155,0.000555155,0.000555155
2,498.471,1.12648,0.66521,0.00327,0.89892,0.90941,0.96503,0.74246,0.88156,5.13431,0.00333,0.00105584,0.00105584,0.00105584
3,735.199,1.00855,0.5254,0.00287,0.90497,0.93044,0.97351,0.79758,0.70076,6.87857,0.00254,0.00150151,0.00150151,0.00150151
4,969.994,0.95003,0.47055,0.00269,0.92473,0.93099,0.97954,0.81643,0.66871,5.31344,0.00243,0.00141945,0.00141945,0.00141945
5,1204.22,0.89444,0.41973,0.0025,0.93645,0.94282,0.9826,0.84248,0.59203,5.40459,0.00211,0.00133693,0.00133693,0.00133693
6,1438.71,0.85044,0.39133,0.00236,0.95155,0.95239,0.98775,0.86426,0.54467,0.25331,0.00196,0.00125442,0.00125442,0.00125442
7,1673.6,0.80187,0.35432,0.0022,0.95971,0.95745,0.98961,0.87611,0.53828,0.54575,0.00195,0.0011719,0.0011719,0.0011719
8,1908.43,0.78128,0.34644,0.00214,0.962,0.96802,0.99121,0.88605,0.49318,0.21716,0.00179,0.00108938,0.00108938,0.00108938
9,2143.54,0.74574,0.31964,0.00202,0.96841,0.96676,0.99168,0.89647,0.47441,0.23065,0.00173,0.00100687,0.00100687,0.00100687
10,2378.49,0.72734,0.31149,0.00198,0.96667,0.96858,0.99167,0.89809,0.47776,0.28294,0.00175,0.000924352,0.000924352,0.000924352
11,2597.19,0.59108,0.23649,0.00195,0.97306,0.97181,0.99242,0.91032,0.43559,0.22892,0.00157,0.000841835,0.000841835,0.000841835
12,2814.18,0.54715,0.21316,0.00177,0.9678,0.96845,0.99103,0.91975,0.40235,0.18702,0.00145,0.000759318,0.000759318,0.000759318
13,3035.86,0.52501,0.20771,0.00169,0.97261,0.97613,0.99282,0.93078,0.39689,0.23208,0.00144,0.000676802,0.000676802,0.000676802
14,3255.82,0.4983,0.18768,0.00158,0.9815,0.97989,0.99355,0.94145,0.35769,0.15721,0.00128,0.000594286,0.000594286,0.000594286
15,3476.3,0.47595,0.17902,0.00151,0.97993,0.97583,0.99332,0.94079,0.35022,0.1515,0.00126,0.000511769,0.000511769,0.000511769
16,3695.65,0.45821,0.17248,0.00145,0.98234,0.98017,0.99367,0.95109,0.32535,0.13767,0.00117,0.000429253,0.000429253,0.000429253
17,3915.01,0.43887,0.16667,0.00138,0.98098,0.97934,0.99357,0.94804,0.33095,0.13341,0.00118,0.000346736,0.000346736,0.000346736
18,4134.07,0.4276,0.16051,0.00133,0.98278,0.98403,0.99389,0.95582,0.3134,0.12527,0.00113,0.00026422,0.00026422,0.00026422
19,4350.91,0.41512,0.15661,0.00129,0.98438,0.98157,0.99388,0.95839,0.30762,0.12442,0.00111,0.000181703,0.000181703,0.000181703
20,4567.05,0.4094,0.15432,0.00125,0.98421,0.98389,0.99402,0.95937,0.30179,0.12101,0.00108,9.91865e-05,9.91865e-05,9.91865e-05
